"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.509523950E-1,5.349894762E-1,2.668834031E-1,-5.109691620E-2,6.000428196E-1
4.559283850E-1,4.580901265E-1,2.681901753E-1,-2.496509552E-1,5.865987842E-1
4.609043740E-1,3.626968861E-1,3.136425316E-1,-2.897462845E-1,5.602442130E-1
4.658803640E-1,2.440998554E-1,3.504938185E-1,-2.915191650E-1,5.171209528E-1
4.708563530E-1,1.210577488E-1,3.782683611E-1,-2.979869843E-1,4.965261064E-1
4.758323430E-1,-1.827120781E-3,3.681768179E-1,-2.996177673E-1,4.746875963E-1
4.808083320E-1,-9.600588679E-2,3.348910213E-1,-3.770084381E-1,5.133268830E-1
4.857843220E-1,-6.199577451E-2,2.978089154E-1,-4.109468460E-1,5.112836164E-1
4.907603120E-1,8.960491419E-2,2.380550504E-1,-3.166074753E-1,4.061274936E-1
4.957363010E-1,2.253855467E-1,1.510085911E-1,-1.142749786E-1,2.943824213E-1
5.007122910E-1,3.461514115E-1,8.376187086E-2,2.044391632E-1,4.106485385E-1
5.056882800E-1,3.764429688E-1,3.070469946E-2,4.962148666E-1,6.236034647E-1
5.106642700E-1,3.782333732E-1,1.488637738E-2,3.726902008E-1,5.312062449E-1
5.156402600E-1,3.422710299E-1,-2.498393878E-2,-4.352378845E-2,3.459305932E-1
5.206162490E-1,2.225299478E-1,-5.430625007E-2,-3.277101517E-1,3.998283256E-1
5.255922390E-1,6.252771616E-2,-7.840618491E-2,3.249168396E-1,3.400414648E-1
5.305682280E-1,-1.422216594E-1,-1.417546123E-1,1.697778702E-1,2.629560719E-1
5.355442180E-1,-2.066180408E-1,-1.811027825E-1,1.820840836E-1,3.296116595E-1
5.405202070E-1,-3.390888572E-1,-2.352580428E-1,1.043459892E0,1.122112359E0
5.454961970E-1,-3.036909401E-1,-2.715797424E-1,7.301683426E-1,8.361396726E-1
5.504721870E-1,-2.133669257E-1,-2.795284390E-1,3.914680481E-1,5.262212709E-1
5.554481760E-1,-1.847456992E-1,-2.165932208E-1,1.033058167E-1,3.028459814E-1
5.604241660E-1,-1.841999590E-1,-1.448074281E-1,-4.337434769E-1,4.929829813E-1
5.654001550E-1,-1.080062687E-1,-9.186575562E-2,-7.524366379E-1,7.656798059E-1
5.703761450E-1,7.644456625E-2,-5.712862313E-2,-5.273294449E-1,5.358953207E-1
5.753521350E-1,3.264351487E-1,-2.186895907E-2,-9.546756744E-2,3.408111121E-1
5.803281240E-1,4.241229892E-1,-5.642339587E-3,1.046733856E-1,4.368851835E-1
5.853041140E-1,3.755935431E-1,-3.206878155E-2,4.191207886E-2,3.792829270E-1
5.902801030E-1,2.718330026E-1,-6.036883220E-3,-1.388549805E-3,2.719035736E-1
5.952560930E-1,1.267676950E-1,5.254957452E-2,1.170654297E-1,1.803768863E-1
6.002320820E-1,-3.599810600E-2,8.138082176E-2,2.725028992E-1,2.866644935E-1
6.052080720E-1,-2.075128555E-1,1.092824042E-1,3.364734650E-1,4.101446351E-1
6.101840620E-1,-3.363700509E-1,1.130382493E-1,2.338218689E-1,4.249648495E-1
6.151600510E-1,-4.185244739E-1,1.409257054E-1,1.368761063E-1,4.623395486E-1
6.201360410E-1,-4.970503449E-1,1.596679688E-1,1.025676727E-1,5.320460818E-1
6.251120300E-1,-4.865565300E-1,1.738354564E-1,5.440235138E-2,5.195340591E-1
6.300880200E-1,-4.540571272E-1,1.641229689E-1,1.147460938E-2,4.829450180E-1
6.350640100E-1,-3.424440324E-1,1.447743922E-1,-2.532005310E-3,3.717982666E-1
6.400399990E-1,-1.991399527E-1,1.017301232E-1,-3.063201904E-2,2.257079070E-1
6.450159890E-1,-2.363604307E-2,5.908721313E-2,-8.224487305E-2,1.039912517E-1
6.499919780E-1,1.319784522E-1,2.175363339E-2,-9.071826935E-2,1.616209665E-1
6.549679680E-1,3.248519301E-1,-8.063744754E-4,-1.608772278E-1,3.625064264E-1
6.599439570E-1,4.735368490E-1,-8.779071271E-3,-2.494497299E-1,5.352937392E-1
