"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.872762140E-1,-8.566975594E-3,1.148073077E-1,-1.994228363E-2,1.168409417E-1
5.922518910E-1,1.126813889E-2,1.138842404E-1,-5.784511566E-2,1.282288913E-1
5.972275680E-1,-2.298831940E-3,9.904086590E-2,-9.544086456E-2,1.375621182E-1
6.022032450E-1,-3.944170475E-2,8.458513021E-2,-9.950447083E-2,1.364237224E-1
6.071789220E-1,-6.187903881E-2,6.586551666E-2,-8.932590485E-2,1.270684816E-1
6.121545990E-1,-5.073940754E-2,5.236929655E-2,-5.076885223E-2,8.885103857E-2
6.171302760E-1,-3.969597816E-2,2.960270643E-2,-1.253604889E-2,5.108075403E-2
6.221059530E-1,-6.673574448E-2,7.140040398E-3,2.062606812E-2,7.021448891E-2
6.270816300E-1,-5.576980114E-2,-1.987212896E-2,2.504539490E-2,6.428408850E-2
6.320573070E-1,-2.130746841E-2,-6.084766984E-2,1.045131683E-2,6.531215169E-2
6.370329840E-1,1.266312599E-2,-1.061792076E-1,-8.747100830E-3,1.072888189E-1
6.420086610E-1,2.250313759E-2,-1.511209756E-1,-2.302455902E-2,1.545123645E-1
6.469843390E-1,2.756285667E-2,-1.814367920E-1,7.991790771E-4,1.835201876E-1
6.519600160E-1,6.576931477E-2,-2.068027109E-1,2.443313599E-2,2.183802696E-1
6.569356930E-1,7.046973705E-2,-2.178652883E-1,3.362369537E-2,2.314342683E-1
6.619113700E-1,6.558656693E-2,-2.147556841E-1,1.239776611E-5,2.245475490E-1
6.668870470E-1,6.533956528E-2,-2.306659669E-1,4.687309265E-3,2.397874432E-1
6.718627240E-1,6.024587154E-2,-2.275068015E-1,9.337425232E-3,2.355336436E-1
6.768384010E-1,3.140461445E-2,-2.148889005E-1,-2.908706665E-4,2.171717615E-1
6.818140780E-1,2.659642696E-2,-1.928731352E-1,4.400253296E-3,1.947479870E-1
6.867897550E-1,1.238298416E-2,-1.710408330E-1,-4.501342773E-4,1.714890885E-1
6.917654320E-1,1.728248596E-2,-1.589386761E-1,8.987426758E-3,1.601279517E-1
6.967411090E-1,1.254224777E-2,-1.279945076E-1,1.361179352E-2,1.293258786E-1
7.017167860E-1,2.990961075E-3,-1.305989325E-1,3.965377808E-3,1.306933481E-1
7.066924640E-1,-1.122879982E-2,-1.284843385E-1,-1.509571075E-2,1.298545019E-1
7.116681410E-1,-1.688361168E-3,-1.074505746E-1,-2.923583984E-2,1.113697036E-1
7.166438180E-1,-2.071666718E-2,-1.149867326E-1,-3.376388550E-2,1.216187853E-1
7.216194950E-1,3.201723099E-3,-1.034661531E-1,-1.451778412E-2,1.045287613E-1
7.265951720E-1,2.217543125E-2,-8.730509877E-2,-9.677886963E-3,9.059575883E-2
7.315707970E-1,2.664470673E-2,-7.613556087E-2,4.633903503E-3,8.079626902E-2
7.365464220E-1,7.234811783E-3,-6.496867537E-2,-9.654998779E-3,6.607942405E-2
7.415220470E-1,2.597618103E-2,-5.395206809E-2,9.416580200E-3,6.061567136E-2
7.464976720E-1,2.097523212E-2,-6.218674779E-2,9.321212769E-3,6.628753254E-2
7.514732970E-1,3.016066551E-2,-3.722171485E-2,4.492759705E-3,4.811763388E-2
7.564489220E-1,4.882180691E-2,-4.107610881E-2,-5.047798157E-3,6.400231098E-2
7.614245470E-1,3.883779049E-2,-3.071002662E-2,-9.757995605E-3,5.046482125E-2
7.664001720E-1,5.273342133E-2,-2.999053895E-2,-1.443386078E-2,6.235849973E-2
7.713757970E-1,4.752326012E-2,-2.929505706E-2,-2.381896973E-2,6.069599607E-2
7.763514220E-1,3.291344643E-2,-3.806324303E-2,-1.888847351E-2,5.374830097E-2
7.813270470E-1,4.227280617E-2,-1.822818816E-2,-1.876068115E-2,4.971136834E-2
7.863026720E-1,1.836585999E-2,-2.699822187E-2,-4.395484924E-3,3.294736841E-2
7.912782970E-1,1.365613937E-2,-1.186840236E-2,9.847640991E-3,2.059915412E-2
7.962539220E-1,4.137396812E-3,1.736880839E-2,1.923561096E-2,2.624504308E-2
8.012295470E-1,-1.969718933E-2,-5.940362811E-3,1.906776428E-2,2.805078987E-2
8.062051720E-1,-4.823517799E-2,-3.385500610E-2,3.316593170E-2,6.762228079E-2
8.111807970E-1,-5.769515038E-2,-2.839989960E-2,3.292179108E-2,7.224353952E-2
8.161564220E-1,-4.823446274E-2,-4.214383662E-2,1.370716095E-2,6.550231005E-2
8.211320470E-1,-6.744611263E-2,-5.107593536E-2,-5.333900452E-3,8.477133818E-2
8.261076720E-1,-7.235443592E-2,-7.428151369E-2,-2.894973755E-2,1.076614833E-1
8.310832970E-1,-4.878067970E-2,-8.780273795E-2,-3.336906433E-2,1.058412489E-1
8.360589220E-1,-5.848824978E-2,-1.201089323E-1,-6.151390076E-2,1.470747802E-1
8.410345470E-1,-7.281064987E-2,-1.283582747E-1,-7.993507385E-2,1.678298348E-1
8.460101720E-1,-5.387544632E-2,-1.317964047E-1,-5.070495605E-2,1.511418161E-1
8.509857970E-1,-2.575194836E-2,-1.305206418E-1,2.042770386E-3,1.330525223E-1
8.559614220E-1,-2.645504475E-2,-1.246154234E-1,7.336044312E-2,1.470055365E-1
8.609370470E-1,-3.664827347E-2,-9.517653286E-2,1.298418045E-1,1.651077301E-1
8.659126720E-1,-1.341223717E-2,-4.240612686E-2,1.526041031E-1,1.589533893E-1
8.708882970E-1,-1.405882835E-2,5.010277033E-3,1.181926727E-1,1.191312781E-1
8.758639220E-1,-2.424836159E-2,4.253448546E-2,6.982898712E-2,8.528336846E-2
8.808395470E-1,-4.394972324E-2,6.538590789E-2,1.713371277E-2,8.062542550E-2
8.858152240E-1,-4.469525814E-2,6.904074550E-2,-1.135540009E-2,8.302551265E-2
8.907909010E-1,-6.458103657E-2,6.796172261E-2,-3.009319305E-2,9.846373085E-2
